Name,Order,Latitude,Longitude,Elevation (ft),Distance from start (ft),ph,temp,height
Powdermill,1,40.14603205,-79.26838424,1515.295423,12813.80532,,,
Laurel Run,2,40.14947168,-79.28155265,1517.12087,19785.02283,,,
Loyalhanna Creek,3,40.15897818,-79.30036439,1406.885928,26169.63359,,,
Laughlintown,4,40.22549107,-79.22009612,1166.510131,57875.51333,,,
Gorge,5,40.28627558,-79.31938177,1047.858324,101934.0027,,,
Loyalhanna Dam,6,40.46430688,-79.45153448,864.9196551,237793.9462,,,
Leechburg,7,40.62746374,-79.59719226,758.5313494,369874.4478,,,
Acmetonia,8,40.53697835,-79.81502917,729.639322,484223.5777,,,
Montgomery Dam,9,40.6510192,-80.38379359,682.6279826,728150.3959,,,
