OBJECTID,Lat,Long,Distance,Elevation
129,40.39535091,-79.43388356,192000,922.8071373
130,40.39945359,-79.43395491,193500,922.6200069
131,40.40215023,-79.43738177,195000,923.5992126
132,40.40477073,-79.43854583,196500,922.2300266
133,40.40500768,-79.433171,198000,922.0422955
134,40.40720724,-79.42923528,199500,926.6112216
135,40.41054809,-79.43194772,201000,921.6985722
136,40.41401103,-79.43477745,202500,921.4916174
137,40.41408803,-79.43908591,204000,921.3300184
138,40.41507218,-79.44393,205500,921.3300184
139,40.41852264,-79.44255419,207000,921.5419794
140,40.42212028,-79.4400306,208500,921.6500124
141,40.42492209,-79.44259292,210000,921.4782008
142,40.42401103,-79.44767408,211500,920.7844466
143,40.42480467,-79.45253898,213000,921.0064199
144,40.42865298,-79.45301263,214500,921.102338
145,40.43029513,-79.44940919,216000,921.1776307
146,40.42908454,-79.44435029,217500,921.4214309
147,40.4317621,-79.44079562,219000,921.2461151
148,40.43505517,-79.43765891,220500,920.9887982
149,40.43861675,-79.43974631,222000,920.8817664
150,40.44078533,-79.43665433,223500,920.80347
151,40.44371956,-79.43940642,225000,920.9207144
152,40.44482169,-79.44457798,226500,920.9802877
153,40.44814866,-79.44688835,228000,920.8276998
154,40.45009644,-79.45120878,229500,921.038159
155,40.45145278,-79.45614814,231000,920.9763829
156,40.45516489,-79.45706178,232500,921.5471858
157,40.45665243,-79.45261689,234000,920.101806
158,40.4591024,-79.44899701,235500,870.4178255
159,40.4627291,-79.44957079,237000,866.7853525
160,40.46559478,-79.45339655,238500,863.4808834
161,40.46858364,-79.45708998,240000,860.1211463
162,40.47012132,-79.46188469,241500,856.6404602
163,40.46674971,-79.46238686,243000,854.031848
164,40.46359906,-79.46286842,244500,851.7670591
165,40.46502482,-79.46775147,246000,849.458216
166,40.46845232,-79.46987406,247500,848.3121047
167,40.47227283,-79.46898839,249000,844.6495947
168,40.47615093,-79.46808982,250500,845.9704212
169,40.47872036,-79.46545199,252000,841.0252317
170,40.47793012,-79.46029691,253500,837.7443917
171,40.47693974,-79.45513346,255000,834.5594198
172,40.4787672,-79.45169704,256500,831.6831279
173,40.48059366,-79.45503515,258000,828.8539441
174,40.48415769,-79.45650719,259500,826.5584174
175,40.48692571,-79.45321325,261000,824.9979458
176,40.49092226,-79.45274672,262500,823.7046533
177,40.49481407,-79.45447729,264000,821.9015329
178,40.49883295,-79.45537621,265500,820.7173748
179,40.50286724,-79.45454149,267000,817.6860921
180,40.50684153,-79.45402942,268500,816.7343701
181,40.51040936,-79.45663587,270000,815.841771
182,40.5141967,-79.45869846,271500,814.994728
183,40.51823565,-79.45968206,273000,814.2045049
184,40.52193983,-79.45756474,274500,813.4071731
185,40.52479048,-79.45378563,276000,812.5953233
186,40.52713259,-79.44945758,277500,811.6566174
187,40.53080195,-79.45062581,279000,810.6552343
188,40.53398258,-79.4540081,280500,809.7694936
189,40.53444374,-79.45923674,282000,808.8047056
190,40.53423152,-79.4646261,283500,807.9426941
191,40.53297538,-79.46962307,285000,807.0221606
192,40.53032042,-79.47370333,286500,806.1684594
193,40.53124404,-79.47787419,288000,805.4611884
194,40.53513308,-79.47660546,289500,804.872864
195,40.53714565,-79.4805057,291000,805.0309086
196,40.53465424,-79.4843332,292500,805.2333078
197,40.53057521,-79.48487458,294000,805.5047421
198,40.52693969,-79.48713175,295500,805.6470173
199,40.52516696,-79.49192761,297000,804.6504401
200,40.5253313,-79.49720895,298500,802.9551525
201,40.5291596,-79.49723817,300000,800.5033834
202,40.53285342,-79.49946665,301500,799.4784714
203,40.53548529,-79.50359767,303000,799.6311594
204,40.53813713,-79.50763635,304500,799.4226526
205,40.5417397,-79.51024281,306000,798.8051422
206,40.54266236,-79.51506166,307500,798.4737842
207,40.54148842,-79.52022645,309000,798.3983413
208,40.54223949,-79.52548092,310500,798.2989689
209,40.54536552,-79.52883926,312000,796.182713
210,40.54824986,-79.5326679,313500,794.0808247
211,40.55095046,-79.53673819,315000,795.5559412
212,40.55308635,-79.54135302,316500,789.8642325
213,40.55524021,-79.54595362,318000,787.8110041
214,40.55758575,-79.55038898,319500,787.240001
215,40.55986054,-79.55488452,321000,787.240001
216,40.56238809,-79.55912347,322500,787.3340668
217,40.56595184,-79.56158701,324000,787.0658866
218,40.56984732,-79.56333029,325500,786.8911214
219,40.57358303,-79.56557047,327000,786.6321024
220,40.57749844,-79.56703682,328500,785.3525768
221,40.58113964,-79.56930332,330000,784.9171407
222,40.58505449,-79.57002531,331500,781.3069952
223,40.5888244,-79.56789365,333000,778.5439428
224,40.59274725,-79.56627227,334500,777.136009
225,40.59558763,-79.56251529,336000,776.2804055
226,40.59786956,-79.55809273,337500,774.790671
227,40.60077429,-79.55434384,339000,774.7301465
228,40.60318584,-79.5503944,340500,774.7123746
229,40.60510721,-79.55439409,342000,774.7162794
230,40.6055784,-79.55967911,343500,774.5910752
231,40.60769405,-79.56425145,345000,774.2022464
232,40.60732646,-79.56940147,346500,773.8841047
233,40.60424322,-79.57293252,348000,773.5567015
234,40.60158885,-79.57697734,349500,771.7711027
235,40.60323074,-79.58157832,351000,771.4937112
236,40.60687256,-79.58396926,352500,770.6761544
237,40.61090094,-79.58360406,354000,768.5368701
238,40.61427493,-79.58655947,355500,767.2701102
239,40.61762033,-79.58907568,357000,766.2146105
240,40.62171408,-79.58863528,358500,765.3101968
241,40.62574483,-79.5880416,360000,764.3320924
242,40.62935061,-79.58543757,361500,763.4066028
243,40.63299916,-79.58296204,363000,762.5319757
244,40.63676663,-79.58383286,364500,761.7437551
245,40.63564098,-79.58871014,366000,760.9095779
246,40.63299465,-79.59272576,367500,760.0071167
247,40.62938593,-79.59530865,369000,759.0806258
248,40.62621158,-79.59872038,370500,758.1150868
249,40.62440754,-79.60344146,372000,757.1350801
250,40.6257976,-79.60837144,373500,756.1099677
251,40.62958044,-79.61001704,375000,755.0906125
252,40.6336291,-79.60926619,376500,754.1112565
253,40.63771323,-79.60883171,378000,753.230522
254,40.64156304,-79.61050683,379500,752.3462832
255,40.64421025,-79.61451035,381000,751.4636463
256,40.64517649,-79.61974259,382500,750.5613352
257,40.64693528,-79.62457802,384000,749.5863346
258,40.64902784,-79.62917595,385500,748.6538864
259,40.65188932,-79.63306211,387000,747.7258937
260,40.65521977,-79.63614469,388500,746.6822085
261,40.65924828,-79.6369685,390000,745.7290848
262,40.66335616,-79.63720322,391500,744.8116551
263,40.66681865,-79.63982877,393000,744.7414687
264,40.66887175,-79.64451315,394500,744.4150667
265,40.67055588,-79.64944612,396000,744.45021
266,40.67267066,-79.65402705,397500,744.487556
267,40.67554551,-79.65789281,399000,744.4674312
268,40.67801148,-79.66217782,400500,744.7885266
269,40.67947953,-79.66720629,402000,745.3028599
270,40.67740019,-79.67085851,403500,745.1854654
271,40.67408061,-79.674057,405000,745.0589596
272,40.67158377,-79.67829252,406500,745.5068612
273,40.67043642,-79.68347435,408000,745.6023788
274,40.66950186,-79.6887177,409500,745.6912883
275,40.6674745,-79.69334794,411000,745.7299859
276,40.66388703,-79.69567258,412500,745.7299859
277,40.65988064,-79.69488113,414000,745.7299859
278,40.6560739,-79.69283365,415500,745.8110357
279,40.65234977,-79.69052931,417000,745.606584
280,40.64837196,-79.68930853,418500,745.0477959
281,40.64426735,-79.68888412,420000,744.9474723
282,40.64040749,-79.69055545,421500,746.803658
283,40.63668072,-79.6928531,423000,745.9000453
284,40.63326864,-79.69586884,424500,745.825103
285,40.62997471,-79.69911132,426000,746.2666968
286,40.62668068,-79.70235347,427500,746.5905456
287,40.62371614,-79.70605243,429000,746.5095459
288,40.62109953,-79.71022417,430500,746.4878692
289,40.61830345,-79.71415777,432000,746.4120758
290,40.61480068,-79.71689861,433500,747.0331406
291,40.61110943,-79.7192872,435000,738.0000173
292,40.60763414,-79.72206489,436500,738.0000173
293,40.60538364,-79.72654368,438000,737.4428312
294,40.60386668,-79.73156583,439500,738.0000173
295,40.60211883,-79.73645391,441000,738.0000173
296,40.60085283,-79.7415658,442500,738.0000173
297,40.59973627,-79.74676346,444000,738.0000173
298,40.59826855,-79.75178988,445500,738.0000173
299,40.59642213,-79.75661786,447000,737.9872015
300,40.59412344,-79.76107379,448500,737.9689791
301,40.59131925,-79.76501912,450000,737.933185
302,40.58821393,-79.76856215,451500,737.8290568
303,40.58483975,-79.77163419,453000,737.7575687
304,40.58094768,-79.77330376,454500,737.6388726
305,40.57685576,-79.77390327,456000,737.6597483
306,40.57276382,-79.77450271,457500,737.5792992
307,40.5686849,-79.77402436,459000,737.5708889
308,40.56469281,-79.77270257,460500,737.4500401
309,40.56085932,-79.77073977,462000,737.475171
310,40.55696059,-79.76900387,463500,737.4372243
311,40.55306184,-79.76726817,465000,737.4760721
312,40.54933767,-79.76498453,466500,737.4204536
313,40.54536636,-79.76385816,468000,737.2661636
314,40.54158944,-79.76587137,469500,737.1255905
315,40.53840475,-79.76923892,471000,737.0130519
316,40.53598608,-79.77356073,472500,736.9241925
317,40.53472884,-79.7786603,474000,736.7305541
318,40.53441352,-79.78402587,475500,736.6905048
319,40.53497851,-79.78935546,477000,736.6072022
320,40.53597281,-79.79459236,478500,736.4991692
321,40.536704,-79.79990312,480000,736.4008981
322,40.53709207,-79.80524645,481500,736.2798991
323,40.53694285,-79.81063964,483000,736.0172257
324,40.53696374,-79.81601353,484500,725.9300544
